"","Raceway_ID","tissue","microsite","Depth","day_collected_est","Distance_from_application","date_coll_flat","Year_collected","Month_collected","Day_collected","d15N","d13C","pN","pC","Site","habitat","Plant_species","Date_installed","Date_mesh_added","Season","mesh_type","Date_15N_added_flat","N15_mg_added","total_N_mg_added","Type_of_label","Year_15N_added","Month_15N_added","Day_15N_added","Experiment","Distance_from_tracer_to_mesh","mass_g","avg_N","Total_N","Day","Nat_ab_15N","R","R0","F","F0","total15N","total15N0","excess","stomped","gwc_depth","VWC","GWC","Day_2","CN","excess_percm","excess_percmday"
"13","10","root","plant","plant",10,35,170602,2017,6,2,-1.6,-14.1,0.5,39.5,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"nitrate",2017,5,25,"Nform_Plant_species",NA,2.51,0.5,12.55,8,-1.575,0.003664128,0.00366421975,0.00365075118037894,0.00365084226168062,0.0458169273137557,0.0458180703840917,-1.14307033602379e-06,"No",NA,NA,NA,8,92.1666666666667,-3.26591524578225e-05,-4.08239405722781e-06
"14","10","leaf","plant","plant",3,35,170528,2017,5,28,-1.5,-15.3,1,44.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"nitrate",2017,5,25,"Nform_Plant_species",NA,3.31,1.4,46.34,3,-1.575,0.003664495,0.00366421975,0.00365111550548573,0.00365084226168062,0.169192692524208,0.16918003040628,1.26621179288022e-05,"No","0_10",NA,0.0132730015082958,3,51.5666666666667,0.000361774797965778,0.000120591599321926
"15","10","leaf","plant","plant",10,35,170602,2017,6,2,-1.5,-15.5,1.8,44.7,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"nitrate",2017,5,25,"Nform_Plant_species",NA,3.31,1.4,46.34,8,-1.575,0.003664495,0.00366421975,0.00365111550548573,0.00365084226168062,0.169192692524208,0.16918003040628,1.26621179288022e-05,"No",NA,NA,NA,8,28.9722222222222,0.000361774797965778,4.52218497457223e-05
"16","13","root","plant","plant",10,33.5,170604,2017,6,4,-2.2,-14.8,0.5,42.8,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,3.44,0.5,17.2,3,-1.575,0.003661926,0.00366421975,0.00364856522414302,0.00365084226168062,0.0627553218552599,0.0627944869009066,-3.91650456467163e-05,"No",NA,NA,NA,3,99.8666666666667,-0.00116910584020049,-0.000389701946733496
"17","13","leaf","plant","plant",3,33.5,170604,2017,6,4,-1.6,-15.6,1.5,42.9,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,8.47,1.5,127.05,3,-1.575,0.003664128,0.00366421975,0.00365075118037894,0.00365084226168062,0.463827937467144,0.463839509346522,-1.15718793777808e-05,"No","0_10",NA,0.00989722116482672,3,33.3666666666667,-0.000345429235157636,-0.000115143078385879
"18","14","root","plant","plant",10,32,170604,2017,6,4,-0.1,-14.5,0.5,40,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,13.64,0.5,68.2,3,-1,0.003669633,0.00366633,0.00365621602900484,0.00365293712702308,0.24935393317813,0.249130312062974,0.000223621115155614,"No",NA,NA,NA,3,93.3333333333333,0.00698815984861295,0.00232938661620432
"19","14","leaf","plant","plant",0,32,170528,2017,5,28,-1,-16.1,1.3,42.6,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,8.74,1.25,109.25,-4,-1,0.00366633,0.00366633,0.00365293712702308,0.00365293712702308,0.399083381127272,0.399083381127272,0,"No","0_10",NA,0.0135978600089166,0,38.2307692307692,0,NA
"20","14","leaf","plant","plant",3,32,170604,2017,6,4,-0.6,-15.7,1.2,43.7,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,8.74,1.25,109.25,3,-1,0.003667798,0.00366633,0.0036543944194571,0.00365293712702308,0.399242590325689,0.399083381127272,0.000159209198416888,"No",NA,NA,NA,3,42.4861111111111,0.00497528745052774,0.00165842915017591
"21","15","root","plant","plant",10,35,170604,2017,6,4,-1,-14.4,0.5,43.8,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,1.88,0.5,9.4,3,-0.9,0.00366633,0.003666697,0.00365293712702308,0.00365330145053124,0.034337608994017,0.0343410336349937,-3.4246409766972e-06,"No",NA,NA,NA,3,102.2,-9.78468850484915e-05,-3.26156283494972e-05
"22","15","leaf","plant","plant",0,35,170528,2017,5,28,-0.9,-16.8,1.8,42.8,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,9.77,1.75,170.975,-4,-0.9,0.003666697,0.003666697,0.00365330145053124,0.00365330145053124,0.624623215504579,0.624623215504579,0,"No","0_10",NA,0.00931151241535004,0,27.7407407407407,0,NA
