,Raceway_ID,tissue,microsite,Depth,day_collected_est,Distance_from_application,date_coll_flat,Year_collected,Month_collected,Day_collected,d15N,d13C,pN,pC,Site,habitat,Plant_species,Date_installed,Date_mesh_added,Season,mesh_type,Date_15N_added_flat,N15_mg_added,total_N_mg_added,Type_of_label,Year_15N_added,Month_15N_added,Day_15N_added,Experiment,Distance_from_tracer_to_mesh,mass_g,avg_N,Total_N,Day,Nat_ab_15N,R,R0,F,F0,total15N,total15N0,excess,stomped,gwc_depth,VWC,GWC,Day_2,CN,excess_percm,excess_percmday
15,10,leaf,plant,plant,10,35,170602,2017,6,2,-1.5,-15.5,1.8,44.7,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,nitrate,2017,5,25,Nform_Plant_species,NA,3.31,1.4,46.34,8,-1.575,0.003664495,0.00366422,0.003651116,0.003650842,0.169192693,0.16918003,1.27E-05,No,NA,NA,NA,8,28.97222222,0.000361775,4.52E-05
16,13,root,plant,plant,10,33.5,170604,2017,6,4,-2.2,-14.8,0.5,42.8,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,3.44,0.5,17.2,3,-1.575,0.003661926,0.00366422,0.003648565,0.003650842,0.062755322,0.062794487,-3.92E-05,No,NA,NA,NA,3,99.86666667,-0.001169106,-0.000389702
17,13,leaf,plant,plant,3,33.5,170604,2017,6,4,-1.6,-15.6,1.5,42.9,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,8.47,1.5,127.05,3,-1.575,0.003664128,0.00366422,0.003650751,0.003650842,0.463827937,0.463839509,-1.16E-05,No,0_10,NA,0.009897221,3,33.36666667,-0.000345429,-0.000115143
18,14,root,plant,plant,10,32,170604,2017,6,4,-0.1,-14.5,0.5,40,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,13.64,0.5,68.2,3,-1,0.003669633,0.00366633,0.003656216,0.003652937,0.249353933,0.249130312,0.000223621,No,NA,NA,NA,3,93.33333333,0.00698816,0.002329387
19,14,leaf,plant,plant,0,32,170528,2017,5,28,-1,-16.1,1.3,42.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,8.74,1.25,109.25,-4,-1,0.00366633,0.00366633,0.003652937,0.003652937,0.399083381,0.399083381,0,No,0_10,NA,0.01359786,0,38.23076923,0,NA
20,14,leaf,plant,plant,3,32,170604,2017,6,4,-0.6,-15.7,1.2,43.7,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,8.74,1.25,109.25,3,-1,0.003667798,0.00366633,0.003654394,0.003652937,0.39924259,0.399083381,0.000159209,No,NA,NA,NA,3,42.48611111,0.004975287,0.001658429
21,15,root,plant,plant,10,35,170604,2017,6,4,-1,-14.4,0.5,43.8,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,1.88,0.5,9.4,3,-0.9,0.00366633,0.003666697,0.003652937,0.003653301,0.034337609,0.034341034,-3.42E-06,No,NA,NA,NA,3,102.2,-9.78E-05,-3.26E-05
22,15,leaf,plant,plant,0,35,170528,2017,5,28,-0.9,-16.8,1.8,42.8,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,9.77,1.75,170.975,-4,-0.9,0.003666697,0.003666697,0.003653301,0.003653301,0.624623216,0.624623216,0,No,0_10,NA,0.009311512,0,27.74074074,0,NA
23,15,leaf,plant,plant,3,35,170604,2017,6,4,0,-16.4,1.7,43,SEV,BBG,BOER,12/13/16,3/25/17,Spring,fine,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,9.77,1.75,170.975,3,-0.9,0.00367,0.003666697,0.00365658,0.003653301,0.625183825,0.624623216,0.00056061,No,NA,NA,NA,3,29.50980392,0.016017424,0.005339141
24,21,root,plant,plant,10,29,170602,2017,6,4,-1.8,-14.4,0.4,35.3,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,5.9,0.4,23.6,3,-1.9,0.003663394,0.003663027,0.003650023,0.003649658,0.086140532,0.086131934,8.60E-06,No,NA,NA,NA,3,102.9583333,0.000296486,9.88E-05
